Player,Team,MP,GS,Goals,Shots,Shots.per.90,Shot.Accuracy,Shot.GK.Stop,Shot.Def.Stop,Shot.Miss,Shot.Pressed,Pct.Shots.Pressed,A6.Shots,A18.Shots,A3L.Shots,A3C.Shots,A3R.Shots,Far.Shots,Assists,Key.Passes,Key.Assists,Second.Assists,Assists.per.90,Key.Passes.per.90,Big.Chances,Big.Chances.per.90,BC.Scored,BC.Conversion.Pct,BC.SOG,BC.Shot.Miss,BC.Dispossess,BC.Created,BC.Lost,Pass.Comp,Pass.Att,Pass.Comp.Pct,opPass.Comp,opPass.Att,opPass.Comp.Pct,opPPass.Comp,opPPass.Att,opPPass.Comp.Pct,Pct.opPass.Pressed,rFreq.Pass.Fwd,rFreq.Pass.Side,rFreq.Pass.Back,fwPass.Comp,fwPass.Att,fwPass.Comp.Pct,sPass.Comp,sPass.Att,sPass.Comp.Pct,bPass.Comp,bPass.Att,bPass.Comp.Pct,rFreq.A3.Passes,rFreq.M3.Passes,rFreq.D3.Passes,A3Pass.Comp,A3Pass.Att,A3Pass.Comp.Pct,M3Pass.Comp,M3Pass.Att,M3Pass.Comp.Pct,D3Pass.Comp,D3Pass.Att,D3Pass.Comp.Pct,rFreq.A3.opPasses,rFreq.M3.opPasses,rFreq.D3.opPasses,A3opPass.Comp,A3opPass.Att,A3opPass.Comp.Pct,M3opPass.Comp,M3opPass.Att,M3opPass.Comp.Pct,D3opPass.Comp,D3opPass.Att,D3opPass.Comp.Pct,Pass.Comp.D3toD3,Pass.Comp.D3toM3,Pass.Comp.D3toA3,Pass.Comp.M3toD3,Pass.Comp.M3toM3,Pass.Comp.M3toA3,Pass.Comp.A3toD3,Pass.Comp.A3toM3,Pass.Comp.A3toA3,rFreq.opPass.Fwd,rFreq.opPass.Side,rFreq.opPass.Back,fwopPass.Comp,fwopPass.Att,fwopPass.Comp.Pct,sopPass.Comp,sopPass.Att,sopPass.Comp.Pct,bopPass.Comp,bopPass.Att,bopPass.Comp.Pct,Pct.Passes.Pressed,PPass.Comp,PPass.Att,PPass.Comp.Pct,rFreq.PPass.Fwd,rFreq.PPass.Side,rFreq.PPass.Back,fwPPass.Comp,fwPPass.Att,fwPPass.Comp.Pct,sPPass.Comp,sPPass.Att,sPPass.Comp.Pct,bPPass.Comp,bPPass.Att,bPPass.Comp.Pct,Cross.Comp,Cross.Att,Cross.Att.per.90,Cross.Att.per.opPass,Cross.Comp.Pct,Corner.Crosses,Deep.Crosses,Launch.Comp,Launch.Att,Launch.Att.per.90,Launch.Att.per.Pass,Launch.Comp.Pct,Through.Comp,Through.Att,Through.Att.per.90,Through.Att.per.Pass,Through.Att.per.opPass,Through.Comp.Pct,Throw.In.Comp,Throw.In.Att,Throw.In.Att.per.90,Throw.In.Att.per.Pass,Throw.In.Comp.Pct,Corner.Kicks.Completed,Corner.Kicks.Taken,CK.Comp.Pct,CK.Assist,CK.Key.Pass,FK.Pass.Comp,FK.Pass.Att,FK.Pass.Comp.Pct,FK.Assist,FK.Key.Pass,FK.Shot,FK.Scored,Free.Kicks.Taken,Take.Ons,TO.Won,TO.Lost,TO.Win.Pct,Dispossessed,Lost.Touches,All.Possessions.Disrupted,Aerial.Duels,AD.Won,AD.Lost,AD.Win.Pct,Tackles,Dispossesses,Dribbled,Press.Opp,Challenge.Opp,Recoveries,Def.Recoveries,Poss.Recoveries,Interceptions,Int.per.90,Int.per.OP.Pass,Blocks,Clearances,Ball.Shields,Saves,Goals.Allowed,GK.SOG.Faced,GperSOG,BC.SOG.Faced,BC.Saves,BC.Goals.Allowed,GperBCSOG,High.Balls.Faced,HB.Won,HB.Lost,HB.Caught,HB.Punched,HB.Parried,HB.Collected,HB.Fouls.Won,Crosses.Faced,Crosses.Won,Crosses.Lost,Corner.Kicks.Faced,CKs.Won,CKs.Lost,Free.Kicks.Faced,FKs.Won,FKs.Lost,Smothers.Won,Smothers.Lost,GK.Overall.Pass.Comp,GK.Overall.Pass.Att,GK.Overall.Pass.Comp.Pct,GK.Throw.Comp,GK.Throw.Att,GK.Throw.Comp.Pct,GK.Drop.Kick.Comp,GK.Drop.Kick.Att,GK.Drop.Kick.Comp.Pct,GKFK.Comp,GKFK.Att,GKFK.Comp.Pct
Barnes,SRFC,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,82,0.865853659,64,75,0.853333333,18,23,0.782608696,0.306666667,0.524390244,0.353658537,0.12195122,34,43,0.790697674,27,29,0.931034483,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546666667,0.32,0.133333333,32,41,0.780487805,22,24,0.916666667,10,10,1,0.280487805,18,23,0.782608696,0.434782609,0.391304348,0.173913043,7,10,0.7,7,9,0.777777778,4,4,1,0,2,1.894736842,0.026666667,0,1,1,2,7,6.631578947,0.085365854,0.285714286,2,4,3.789473684,0.048780488,0.053333333,0.5,7,7,6.631578947,0.085365854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,8,3,0,0,1,1,0.947368421,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casey,SBFC,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,0.702702703,18,27,0.666666667,1,2,0.5,0.074074074,0.945945946,0.054054054,0,24,35,0.685714286,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925925926,0.074074074,0,16,25,0.64,2,2,1,0,0,0,0.054054054,1,2,0.5,1,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,19.89473684,0.567567568,0.476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,6,0,1,1,0,0,4,3,1,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,26,37,0.702702703,7,7,1,0,0,0,7,15,0.466666667
Conheeney,SBFC,95,1,1,3,2.842105263,0.666666667,1,0,1,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0.947368421,1,1,0,0,0,0,0,24,32,0.75,23,31,0.741935484,14,20,0.7,0.64516129,0.28125,0.4375,0.28125,5,9,0.555555556,10,14,0.714285714,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290322581,0.451612903,0.258064516,5,9,0.555555556,10,14,0.714285714,8,8,1,0.625,14,20,0.7,0.25,0.55,0.2,3,5,0.6,7,11,0.636363636,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.947368421,0.03125,0.032258065,0,1,1,0.947368421,0.03125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0.5,0,5,6,4,1,3,0.25,3,0,6,45,7,0,0,5,3,2.842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corsie,SRFC,20,0,0,1,4.5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0.833333333,13,16,0.8125,5,7,0.714285714,0.4375,0.666666667,0.111111111,0.222222222,9,12,0.75,2,2,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.125,0.25,7,10,0.7,2,2,1,4,4,1,0.388888889,5,7,0.714285714,0.571428571,0.142857143,0.285714286,2,4,0.5,1,1,1,2,2,1,0,0,0,0,0,0,0,3,4,18,0.222222222,0.75,0,0,0,0,0,0,2,2,9,0.111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,2,4,2,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallstream,SRFC,25,0,0,1,3.6,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3.6,0,0,0,0,0,0,0,0,0,8,10,0.8,8,10,0.8,2,3,0.666666667,0.3,0.3,0.2,0.5,2,3,0.666666667,1,2,0.5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.5,2,3,0.666666667,1,2,0.5,5,5,1,0.3,2,3,0.666666667,0.333333333,0.333333333,0.333333333,0,1,0,1,1,1,1,1,1,1,1,3.6,0.1,1,1,0,0,1,3.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0.333333333,3,1,6,1,0,1,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeCesare,SBFC,36,0,0,1,2.5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.5,3,6,0.5,2,3,0.666666667,0.5,0.5,0.333333333,0.166666667,1,3,0.333333333,1,2,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333,0.166666667,1,3,0.333333333,1,2,0.5,1,1,1,0.5,2,3,0.666666667,0.666666667,0.333333333,0,1,2,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,4,2,0.666666667,1,0,0,10,3,0,0,0,1,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fishlock,SRFC,95,1,0,2,1.894736842,0.5,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.947368421,0,0,0,1,0,0,0,54,72,0.75,50,68,0.735294118,29,36,0.805555556,0.529411765,0.5,0.333333333,0.166666667,22,36,0.611111111,20,24,0.833333333,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514705882,0.323529412,0.161764706,21,35,0.6,18,22,0.818181818,11,11,1,0.5,29,36,0.805555556,0.416666667,0.361111111,0.222222222,10,15,0.666666667,11,13,0.846153846,8,8,1,0,1,0.947368421,0.014705882,0,1,0,0,6,5.684210526,0.083333333,0,1,6,5.684210526,0.083333333,0.088235294,0.166666667,1,1,0.947368421,0.013888889,1,0,0,0,0,0,3,3,1,0,0,0,0,3,4,4,0,1,0,2,2,2,0,2,0,4,2,2,24,8,0,0,4,1,0.947368421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fletcher,SRFC,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,71,0.915492958,61,67,0.910447761,15,16,0.9375,0.23880597,0.61971831,0.225352113,0.154929577,39,44,0.886363636,15,16,0.9375,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626865672,0.223880597,0.149253731,37,42,0.880952381,14,15,0.933333333,10,10,1,0.225352113,15,16,0.9375,0.625,0.0625,0.3125,9,10,0.9,1,1,1,5,5,1,0,0,0,0,0,0,0,1,6,5.684210526,0.084507042,0.166666667,0,2,1.894736842,0.028169014,0.029850746,0,3,3,2.842105263,0.042253521,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,9,3,6,0.333333333,2,0,0,7,4,0,0,0,2,1.894736842,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gordon,SBFC,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,0.868421053,33,38,0.868421053,20,23,0.869565217,0.605263158,0.289473684,0.315789474,0.394736842,8,11,0.727272727,11,12,0.916666667,14,15,0.933333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289473684,0.315789474,0.394736842,8,11,0.727272727,11,12,0.916666667,14,15,0.933333333,0.605263158,20,23,0.869565217,0.304347826,0.434782609,0.260869565,5,7,0.714285714,9,10,0.9,6,6,1,1,1,0.947368421,0.026315789,1,1,0,1,1,0.947368421,0.026315789,1,1,2,1.894736842,0.052631579,0.052631579,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0.5,2,1,1,47,1,0,0,1,2,1.894736842,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayes,SBFC,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,1,2,2,1,0.666666667,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,0.666666667,2,2,1,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,2,0,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
