"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Berge","NOR","11",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,55,0.818181818181818,45,55,0.818181818181818,9,15,0.6,0.272727272727273,0,0,0,2,7,0.285714285714286,0,0,0,0,0,0,0,0,0,2,7,0.285714285714286,0,0,0,28,38,0.736842105263158,12,12,1,5,5,1,28,38,0.736842105263158,12,12,1,5,5,1,6,12,0.5,2,2,1,1,1,1,0.690909090909091,0.218181818181818,0.0909090909090909,0.690909090909091,0.218181818181818,0.0909090909090909,0.8,0.133333333333333,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,7,4,3,3,2,1,0.666666666666667,0,0,0,0,0,0,0,7,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7525773195876,51.0309278350515,41.7525773195876,51.0309278350515,8.35051546391753,13.9175257731959,0,0,1.85567010309278,6.49484536082474,0,0,0,0,0,0,1.85567010309278,6.49484536082474,0,0,25.979381443299,35.2577319587629,11.1340206185567,11.1340206185567,4.63917525773196,4.63917525773196,25.979381443299,35.2577319587629,11.1340206185567,11.1340206185567,4.63917525773196,4.63917525773196,5.56701030927835,11.1340206185567,1.85567010309278,1.85567010309278,0.927835051546392,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0,0.927835051546392,0,0,0,6.49484536082474,3.71134020618557,2.78350515463918,2.78350515463918,1.85567010309278,0.927835051546392,0,0,0,0,0,0,0,6.49484536082474,0,0,2.78350515463918,4.63917525773196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","USA","6",1,97,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,1,46,46,1,5,5,1,0.108695652173913,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,38,38,1,5,5,1,3,3,1,38,38,1,5,5,1,3,3,1,3,3,1,0,0,0,2,2,1,0.826086956521739,0.108695652173913,0.0652173913043478,0.826086956521739,0.108695652173913,0.0652173913043478,0.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,2,1,0.666666666666667,0,0,0,0,0,0,0,7,2,1,4,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0,0.927835051546392,0,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.680412371134,42.680412371134,42.680412371134,42.680412371134,4.63917525773196,4.63917525773196,0,0,2.78350515463918,2.78350515463918,0,0,0,0,0,0,2.78350515463918,2.78350515463918,0,0,35.2577319587629,35.2577319587629,4.63917525773196,4.63917525773196,2.78350515463918,2.78350515463918,35.2577319587629,35.2577319587629,4.63917525773196,4.63917525773196,2.78350515463918,2.78350515463918,2.78350515463918,2.78350515463918,0,0,1.85567010309278,1.85567010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85567010309278,0.927835051546392,0.927835051546392,2.78350515463918,1.85567010309278,0.927835051546392,0,0,0,0,0,0,0,6.49484536082474,1.85567010309278,0.927835051546392,3.71134020618557,2.78350515463918,0,0.927835051546392,1.85567010309278,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA","19",1,97,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,0.65625,19,30,0.633333333333333,15,22,0.681818181818182,0.733333333333333,1,6,0.166666666666667,1,2,0.5,0,1,0,2,2,1,1,6,0.166666666666667,1,2,0.5,0,1,0,7,12,0.583333333333333,2,7,0.285714285714286,12,13,0.923076923076923,6,11,0.545454545454545,2,7,0.285714285714286,11,12,0.916666666666667,5,9,0.555555555555556,1,3,0.333333333333333,9,10,0.9,0.375,0.21875,0.40625,0.366666666666667,0.233333333333333,0.4,0.409090909090909,0.136363636363636,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0.8,2,2,5,10,6,4,4,1,3,0.25,0,0,0,0,0,0,2,61,7,0,6,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0,0.927835051546392,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4845360824742,29.6907216494845,17.6288659793814,27.8350515463918,13.9175257731959,20.4123711340206,0.927835051546392,5.56701030927835,0.927835051546392,1.85567010309278,0,0.927835051546392,1.85567010309278,1.85567010309278,0.927835051546392,5.56701030927835,0.927835051546392,1.85567010309278,0,0.927835051546392,6.49484536082474,11.1340206185567,1.85567010309278,6.49484536082474,11.1340206185567,12.0618556701031,5.56701030927835,10.2061855670103,1.85567010309278,6.49484536082474,10.2061855670103,11.1340206185567,4.63917525773196,8.35051546391753,0.927835051546392,2.78350515463918,8.35051546391753,9.27835051546392,0,0,0,0,0,0,0,0,0,0,0,3.71134020618557,0.927835051546392,4.63917525773196,1.85567010309278,1.85567010309278,4.63917525773196,9.27835051546392,5.56701030927835,3.71134020618557,3.71134020618557,0.927835051546392,2.78350515463918,0,0,0,0,0,0,1.85567010309278,56.5979381443299,6.49484536082474,0,5.56701030927835,0,0,0,2.78350515463918,1.85567010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ertz","USA","8",1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42857142857143,0,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42857142857143,0,0,0,0,0,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42857142857143,0,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haavi","NOR","20",1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,0.625,15,24,0.625,8,14,0.571428571428571,0.583333333333333,0,3,0,0,2,0,1,1,1,0,0,0,0,3,0,0,2,0,1,1,1,6,13,0.461538461538462,5,7,0.714285714285714,4,4,1,6,13,0.461538461538462,5,7,0.714285714285714,4,4,1,3,9,0.333333333333333,2,2,1,3,3,1,0.541666666666667,0.291666666666667,0.166666666666667,0.541666666666667,0.291666666666667,0.166666666666667,0.642857142857143,0.142857142857143,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,2,2,5,8,7,1,2,1,1,0.5,0,2,0,0,0,0,0,24,4,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,36,22.5,36,12,21,0,4.5,0,3,1.5,1.5,0,0,0,4.5,0,3,1.5,1.5,9,19.5,7.5,10.5,6,6,9,19.5,7.5,10.5,6,6,4.5,13.5,3,3,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,3,3,3,7.5,12,10.5,1.5,3,1.5,1.5,0,3,0,0,0,0,0,36,6,1.5,4.5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hansen","NOR","10",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,48,0.604166666666667,27,40,0.675,22,32,0.6875,0.8,2,14,0.142857142857143,0,1,0,0,0,0,1,1,1,1,8,0.125,0,0,0,0,0,0,14,18,0.777777777777778,8,21,0.380952380952381,7,9,0.777777777777778,14,17,0.823529411764706,6,14,0.428571428571429,7,9,0.777777777777778,13,14,0.928571428571429,3,11,0.272727272727273,6,7,0.857142857142857,0.375,0.4375,0.1875,0.425,0.35,0.225,0.4375,0.34375,0.21875,1,6,0.166666666666667,0,0,0,1,0,0,0,0,0,1,6,2,8,0.75,1,5,8,8,3,5,3,1,2,0.333333333333333,1,0,0,0,0,0,0,38,2,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9072164948454,44.5360824742268,25.0515463917526,37.1134020618557,20.4123711340206,29.6907216494845,1.85567010309278,12.9896907216495,0,0.927835051546392,0,0,0.927835051546392,0.927835051546392,0.927835051546392,7.42268041237113,0,0,0,0,12.9896907216495,16.7010309278351,7.42268041237113,19.4845360824742,6.49484536082474,8.35051546391753,12.9896907216495,15.7731958762887,5.56701030927835,12.9896907216495,6.49484536082474,8.35051546391753,12.0618556701031,12.9896907216495,2.78350515463918,10.2061855670103,5.56701030927835,6.49484536082474,0.927835051546392,5.56701030927835,0,0,0,0.927835051546392,0,0,0,0,0.927835051546392,5.56701030927835,1.85567010309278,7.42268041237113,0.927835051546392,4.63917525773196,7.42268041237113,7.42268041237113,2.78350515463918,4.63917525773196,2.78350515463918,0.927835051546392,1.85567010309278,0.927835051546392,0,0,0,0,0,0,35.2577319587629,1.85567010309278,0,0.927835051546392,0,0,1.85567010309278,0.927835051546392,1.85567010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hegerberg","NOR","14",1,97,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39,0.692307692307692,27,39,0.692307692307692,17,26,0.653846153846154,0.666666666666667,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,19,0.631578947368421,2,4,0.5,13,16,0.8125,12,19,0.631578947368421,2,4,0.5,13,16,0.8125,6,12,0.5,2,3,0.666666666666667,9,11,0.818181818181818,0.487179487179487,0.102564102564103,0.41025641025641,0.487179487179487,0.102564102564103,0.41025641025641,0.461538461538462,0.115384615384615,0.423076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0.666666666666667,4,1,7,6,2,4,9,3,6,0.333333333333333,1,1,0,0,0,0,0,24,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0.927835051546392,0,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0515463917526,36.1855670103093,25.0515463917526,36.1855670103093,15.7731958762887,24.1237113402062,0,0.927835051546392,0,0.927835051546392,0,0,0,0,0,0.927835051546392,0,0.927835051546392,0,0,11.1340206185567,17.6288659793814,1.85567010309278,3.71134020618557,12.0618556701031,14.8453608247423,11.1340206185567,17.6288659793814,1.85567010309278,3.71134020618557,12.0618556701031,14.8453608247423,5.56701030927835,11.1340206185567,1.85567010309278,2.78350515463918,8.35051546391753,10.2061855670103,0,0,0,0,0,0,0,0,0,0,0,3.71134020618557,1.85567010309278,5.56701030927835,3.71134020618557,0.927835051546392,6.49484536082474,5.56701030927835,1.85567010309278,3.71134020618557,8.35051546391753,2.78350515463918,5.56701030927835,0.927835051546392,0.927835051546392,0,0,0,0,0,22.2680412371134,3.71134020618557,0,0.927835051546392,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hegerberg","NOR","8",1,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0.625,10,15,0.666666666666667,8,10,0.8,0.666666666666667,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,9,0.444444444444444,2,3,0.666666666666667,4,4,1,4,9,0.444444444444444,2,2,1,4,4,1,4,6,0.666666666666667,1,1,1,3,3,1,0.5625,0.1875,0.25,0.6,0.133333333333333,0.266666666666667,0.6,0.1,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,2,2,3,2,0,2,0,2,0,1,1,0,0,0,0,3,22,4,2,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19.2,12,18,9.6,12,0,2.4,0,3.6,0,0,0,0,0,1.2,0,2.4,0,0,4.8,10.8,2.4,3.6,4.8,4.8,4.8,10.8,2.4,2.4,4.8,4.8,4.8,7.2,1.2,1.2,3.6,3.6,0,0,0,0,0,1.2,0,0,0,0,1.2,1.2,0,1.2,0,2.4,2.4,3.6,2.4,0,2.4,0,2.4,1.2,1.2,0,0,0,0,3.6,26.4,4.8,2.4,2.4,1.2,0,0,1.2,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hjelmseth","NOR","1",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0.904761904761905,7,8,0.875,1,2,0.5,0.25,0,0,0,6,8,0.75,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,17,19,0.894736842105263,2,2,1,0,0,0,7,8,0.875,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0.904761904761905,0.0952380952380952,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19,21,0.904761904761905,4,4,1,0,0,0,8,9,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6288659793814,19.4845360824742,6.49484536082474,7.42268041237113,0.927835051546392,1.85567010309278,0,0,5.56701030927835,7.42268041237113,0,0,0,0,0,0,0.927835051546392,1.85567010309278,0,0,15.7731958762887,17.6288659793814,1.85567010309278,1.85567010309278,0,0,6.49484536082474,7.42268041237113,0,0,0,0,0.927835051546392,1.85567010309278,0,0,0,0,0,0,0,0,0.927835051546392,0.927835051546392,0,0,0,0,0.927835051546392,0,0,0,0,0,0,2.78350515463918,2.78350515463918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0.927835051546392,0,0.927835051546392,0.927835051546392,0.927835051546392,0,0.927835051546392,0,0,0,0,0.927835051546392,0,0.927835051546392,0,0,0,0,0,0,0,0,0,17.6288659793814,19.4845360824742,3.71134020618557,3.71134020618557,0,0,7.42268041237113,8.35051546391753
"Horan","USA","9",1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0.909090909090909,10,11,0.909090909090909,7,8,0.875,0.727272727272727,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,3,0.666666666666667,2,2,1,6,6,1,2,3,0.666666666666667,2,2,1,6,6,1,1,2,0.5,2,2,1,4,4,1,0.272727272727273,0.181818181818182,0.545454545454545,0.272727272727273,0.181818181818182,0.545454545454545,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,2,2,2,1,1,8,2,6,0.25,0,0,0,0,0,0,1,10,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27835051546392,10.2061855670103,9.27835051546392,10.2061855670103,6.49484536082474,7.42268041237113,0,0,0.927835051546392,0.927835051546392,0,0,0,0,0,0,0.927835051546392,0.927835051546392,0,0,1.85567010309278,2.78350515463918,1.85567010309278,1.85567010309278,5.56701030927835,5.56701030927835,1.85567010309278,2.78350515463918,1.85567010309278,1.85567010309278,5.56701030927835,5.56701030927835,0.927835051546392,1.85567010309278,1.85567010309278,1.85567010309278,3.71134020618557,3.71134020618557,0,0,0,0,0,0,0,0,0,0,0,2.78350515463918,0,2.78350515463918,0,1.85567010309278,1.85567010309278,1.85567010309278,0.927835051546392,0.927835051546392,7.42268041237113,1.85567010309278,5.56701030927835,0,0,0,0,0,0,0.927835051546392,9.27835051546392,2.78350515463918,0,1.85567010309278,0.927835051546392,0,0,0,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
